Date,Place,Fatalities,Latitude,Longitude,Side
31/07/2014,Deir al Balah,5,31.4171313,34.350931,palestinian
31/07/2014,Eastern Gaza City,2,31.5103989,34.4994601,palestinian
31/07/2014,Gaza,6,31.5225605,34.453593,palestinian
31/07/2014,Khan Yunis,15,31.3499693,34.299682,palestinian
31/07/2014,Nusseirat,9,31.4499593,34.392909,palestinian
31/07/2014,Old Gaza City,2,31.506008,34.465485,palestinian
31/07/2014,Rafah,3,31.2943959,34.2457565,palestinian
01/08/2014,Beit Lahiya,2,31.5551566,34.51118,palestinian
01/08/2014,Deir al Balah,1,31.4171313,34.350931,palestinian
01/08/2014,Gaza,4,31.5225605,34.453593,palestinian
01/08/2014,Jibaliya (Refugee Camp),1,31.5366627,34.4904731,palestinian
01/08/2014,Khan Yunis,24,31.3499693,34.299682,palestinian
01/08/2014,Rafah,33,31.2943959,34.2457565,palestinian
01/08/2014,Shejaiya,1,31.5009003,34.4705065,palestinian
01/08/2014,#N/A,3,#N/A,#N/A,palestinian
02/08/2014,Gaza,7,31.5225605,34.453593,palestinian
02/08/2014,Jabalia,1,31.5293955,34.479741,palestinian
02/08/2014,Jibaliya (Refugee Camp),3,31.5366627,34.4904731,palestinian
02/08/2014,Khan Yunis,1,31.3499693,34.299682,palestinian
02/08/2014,Nusseirat,5,31.4499593,34.392909,palestinian
02/08/2014,Rafah,28,31.2943959,34.2457565,palestinian
03/08/2014,Beit Lahiya,2,31.5551566,34.51118,palestinian
03/08/2014,Gaza,14,31.5225605,34.453593,palestinian
03/08/2014,Jabalia,6,31.5293955,34.479741,palestinian
03/08/2014,Nusseirat,2,31.4499593,34.392909,palestinian
03/08/2014,Rafah,37,31.2943959,34.2457565,palestinian
03/08/2014,#N/A,1,#N/A,#N/A,palestinian
04/08/2014,Beit Lahiya,5,31.5551566,34.51118,palestinian
04/08/2014,Gaza,12,31.5225605,34.453593,palestinian
04/08/2014,Jabalia,2,31.5293955,34.479741,palestinian
04/08/2014,Khan Yunis,5,31.3499693,34.299682,palestinian
04/08/2014,Rafah,12,31.2943959,34.2457565,palestinian
04/08/2014,#N/A,1,#N/A,#N/A,palestinian
15/07/2014,Passage de Erez,1,31.5602214,34.5389267,israelian
18/07/2014,Gaza,1,31.5241336,34.4496019,israelian
19/07/2014,3km east of Dimona,1,31.066819,35.197000,israelian
19/07/2014,Israel,2,31.459196,34.5484001,israelian
19/07/2014,Unknown,2,,,israelian
20/07/2014,Unknown,14,,,israelian
21/07/2014,Gaza,1,31.5241336,34.4496019,israelian
21/07/2014,Israel,4,31.459196,34.5484001,israelian
21/07/2014,Unknown,3,,,israelian
22/07/2014,Gaza Strip,5,31.4568205,34.4275311,israelian
22/07/2014,Southern Gaza Strip,1,31.3010657,34.2942554,israelian
23/07/2014,Ashkelon,1,31.641715,34.555384,israelian
25/07/2014,Gaza,1,31.5241336,34.4496019,israelian
25/07/2014,Gaza Strip,1,31.4568205,34.4275311,israelian
25/07/2014,Northern Gaza Strip,1,31.5290898,34.5166427,israelian
25/07/2014,Unknown,1,,,israelian
26/07/2014,Gaza border,1,31.4984249,34.5009937,israelian
26/07/2014,Gaza Strip,1,31.4568205,34.4275311,israelian
26/07/2014,Israel,1,31.459196,34.5484001,israelian
26/07/2014,Northern Gaza Strip,2,31.5290898,34.5166427,israelian
26/07/2014,Southern Gaza Strip,1,31.3010657,34.2942554,israelian
28/07/2014,Gaza border,4,31.4984249,34.5009937,israelian
28/07/2014,Israel,5,31.459196,34.5484001,israelian
28/07/2014,Southern Gaza Strip,1,31.3010657,34.2942554,israelian
30/07/2014,Southern Gaza Strip,3,31.3010657,34.2942554,israelian
31/07/2014,Gaza strip border,5,31.4114771,34.4184588,israelian
01/08/2014,Southern Gaza Strip,3,31.3010657,34.2942554,israelian
